Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,PlacementStatus,IsAnomaly
Female,Ahmedabad,Tier2,CS,Networking,Yes,No,6.59,67.7,0,2,1.0,1,0,62.0,5.93,49.3,56.1,Yes,0,0
Female,Hyderabad,Tier2,ECE,Embedded,Yes,No,6.07,71.6,0,1,1.0,1,0,56.3,3.87,28.6,40.6,No,0,0
Male,Chennai,Tier2,Civil,Embedded,Yes,No,6.9,60.7,1,2,1.0,2,0,55.2,7.24,41.6,69.1,No,0,0
Female,Ahmedabad,Tier2,IT,DataScience,Yes,Yes,7.02,69.6,1,3,2.0,1,0,62.9,5.43,54.3,55.7,Yes,1,0
Female,Bangalore,Tier3,IT,AI,Yes,Yes,7.56,69.7,3,4,3.0,3,0,70.0,5.84,53.2,77.2,No,1,0
Female,Pune,Tier2,EE,DataScience,No,No,8.15,93.4,1,4,3.0,4,1,71.5,7.31,73.3,73.8,No,1,0
Male,Ahmedabad,Tier2,Mechanical,DataScience,Yes,No,6.94,74.6,1,3,1.0,2,0,52.2,5.84,50.2,53.3,No,1,0
Male,Pune,Tier3,Mechanical,DataScience,No,No,7.39,76.2,1,4,2.0,3,0,,7.31,71.9,60.6,Yes,0,0
Male,Jaipur,Tier3,Mechanical,DataScience,Yes,No,6.97,65.9,1,2,2.0,3,1,58.7,5.97,44.9,64.8,No,1,0
Male,Jaipur,Tier2,IT,AI,No,Yes,6.02,63.4,0,1,1.0,0,0,35.2,4.82,25.8,49.9,Yes,0,0
Female,Hyderabad,Tier3,IT,AI,No,No,5.64,62.8,0,0,0.0,0,0,45.4,4.19,31.9,39.2,Yes,0,0
Female,Kolkata,Tier3,ECE,Embedded,Yes,No,7.17,78.8,1,2,3.0,2,1,63.5,6.59,,61.0,Yes,0,0
Female,Bangalore,Tier2,EE,AI,Yes,Yes,7.26,77.7,2,4,1.0,1,0,65.7,6.58,57.9,,Yes,1,0
Male,Kolkata,Tier3,CS,AI,No,No,8.23,86.2,2,4,3.0,3,1,80.3,8.29,86.7,,Yes,1,0
Male,Chennai,Tier1,IT,AI,No,No,6.62,63.5,1,3,3.0,2,0,51.0,5.18,37.2,59.7,Yes,0,0
Male,Chennai,Tier2,IT,DataScience,Yes,No,7.21,76.8,1,2,,2,0,64.4,6.43,63.1,64.4,Yes,1,0
Male,Jaipur,Tier1,IT,DataScience,No,Yes,5.9,64.8,0,1,,0,0,50.1,3.56,40.3,49.0,Yes,0,0
Male,Mumbai,Tier1,CS,Embedded,Yes,No,6.73,68.9,1,1,2.0,2,1,66.2,5.47,67.7,55.2,No,0,0
Male,Bangalore,Tier3,Civil,Networking,No,No,7.64,80.0,2,3,3.0,1,1,74.5,7.49,47.2,69.4,No,0,0
Male,Hyderabad,Tier2,Civil,DataScience,Yes,Yes,7.89,77.7,2,3,4.0,3,1,77.7,8.45,67.5,81.8,No,1,0
Female,Kolkata,Tier2,Mechanical,DataScience,No,Yes,6.03,71.2,1,0,1.0,0,0,52.1,6.06,35.7,50.9,No,0,0
Male,Mumbai,Tier2,Mechanical,AI,Yes,No,7.25,80.0,2,2,,3,0,70.9,6.64,55.2,67.8,Yes,1,1
Female,Jaipur,Tier1,CS,AI,No,No,7.6,82.7,1,3,2.0,3,1,65.3,5.71,75.6,77.6,Yes,0,0
Female,Hyderabad,Tier3,Mechanical,Embedded,Yes,No,6.2,58.6,0,1,1.0,1,0,57.3,5.35,42.2,47.0,No,1,0
Male,Pune,Tier3,IT,Networking,No,No,5.57,60.6,0,0,,0,0,,2.94,27.1,48.1,No,0,0
Female,Ahmedabad,Tier1,CS,Networking,No,No,9.59,100.0,3,5,5.0,7,2,99.7,9.77,97.9,,Yes,1,0
Female,Chennai,Tier2,EE,Embedded,No,No,7.85,80.3,2,2,,2,1,71.6,7.11,67.0,77.4,No,1,0
Male,Kolkata,Tier2,Mechanical,DataScience,Yes,No,7.3,73.3,2,3,2.0,1,0,54.1,,48.0,62.0,No,0,0
Male,Mumbai,Tier2,IT,Networking,No,No,7.13,72.5,3,3,0.0,2,1,76.6,6.44,71.0,72.1,Yes,1,0
Female,Delhi,Tier2,CS,DataScience,No,No,6.45,69.5,0,1,0.0,2,0,56.4,4.38,42.6,47.5,Yes,0,0
Male,Delhi,Tier1,CS,Embedded,Yes,Yes,7.38,81.4,1,3,2.0,2,0,69.1,6.12,58.8,61.7,Yes,1,0
Male,Chennai,Tier1,EE,Networking,Yes,Yes,8.36,90.0,2,4,3.0,4,1,61.2,7.92,74.5,73.4,No,1,0
Male,Ahmedabad,Tier2,ECE,DataScience,Yes,No,8.07,83.8,2,4,4.0,4,0,62.5,,82.5,86.9,Yes,1,0
Female,Jaipur,Tier2,EE,Embedded,Yes,No,7.31,67.0,1,2,1.0,2,0,,6.65,54.4,71.2,No,1,0
Female,Kolkata,Tier2,IT,Embedded,Yes,No,7.43,83.7,1,1,1.0,3,1,74.9,6.53,54.8,50.6,Yes,0,0
Female,Hyderabad,Tier2,ECE,Embedded,Yes,No,5.62,55.8,0,1,0.0,0,0,,4.53,33.5,47.5,No,0,0
Female,Bangalore,Tier2,CS,Embedded,Yes,No,7.62,75.5,1,2,2.0,4,0,60.3,7.56,,68.7,Yes,1,0
Male,Mumbai,Tier2,ECE,AI,Yes,No,8.16,88.6,2,3,3.0,2,0,76.1,8.04,73.0,82.1,Yes,1,0
Male,Hyderabad,Tier2,EE,DataScience,No,No,8.78,90.6,3,3,3.0,6,1,88.1,9.41,86.4,88.8,No,1,0
Male,Jaipur,Tier2,Civil,Networking,No,No,6.57,71.3,1,2,3.0,2,0,49.4,5.53,50.0,,No,0,0
Male,Pune,Tier2,Civil,DataScience,Yes,No,8.75,89.7,2,5,3.0,3,0,69.1,8.74,94.7,91.8,Yes,1,0
Female,Bangalore,Tier1,IT,DataScience,Yes,Yes,7.32,80.7,0,5,1.0,2,0,72.1,,49.6,72.4,No,1,0
Male,Delhi,Tier3,ECE,Networking,Yes,No,5.24,49.7,0,0,0.0,0,0,35.5,3.2,20.9,31.3,No,0,0
Male,Ahmedabad,Tier3,EE,Embedded,Yes,No,7.24,80.4,2,3,3.0,2,1,63.6,6.25,55.4,63.1,Yes,1,0
Female,Jaipur,Tier3,CS,Embedded,Yes,No,5.89,75.3,0,2,1.0,0,0,50.2,4.28,,,Yes,0,0
Female,Delhi,Tier2,CS,Embedded,Yes,No,6.74,64.4,1,2,1.0,2,0,53.4,4.53,44.3,49.6,Yes,0,0
Male,Ahmedabad,Tier3,CS,Embedded,No,Yes,7.46,71.4,2,3,2.0,4,0,63.5,6.59,52.5,68.3,No,1,0
Male,Pune,Tier2,ECE,Networking,No,No,7.23,79.1,1,3,2.0,1,0,53.6,7.13,66.9,63.1,No,1,0
Male,Pune,Tier2,Civil,Networking,No,No,7.38,77.9,1,4,2.0,2,0,55.6,5.67,55.6,70.8,No,0,0
Male,Ahmedabad,Tier2,CS,Embedded,No,No,7.04,68.5,2,3,3.0,1,1,63.2,5.61,57.3,66.6,No,1,1
Male,Bangalore,Tier2,Mechanical,AI,Yes,No,8.63,86.6,2,3,3.0,5,1,85.7,8.56,80.9,89.2,Yes,1,0
Male,Jaipur,Tier2,CS,Networking,Yes,No,7.4,79.1,2,4,0.0,3,0,65.9,7.01,71.9,74.8,No,1,0
Male,Kolkata,Tier1,EE,Networking,No,No,7.1,65.1,1,3,3.0,3,1,,5.6,66.4,65.1,Yes,0,0
Female,Ahmedabad,Tier2,ECE,Embedded,Yes,Yes,8.21,75.7,1,3,3.0,4,1,70.2,7.82,75.7,74.5,No,1,0
Male,Ahmedabad,Tier2,CS,AI,Yes,No,7.91,87.1,1,3,1.0,4,0,67.6,6.72,69.7,65.7,No,0,0
Male,Mumbai,Tier2,Civil,DataScience,No,Yes,7.49,78.5,1,3,2.0,3,1,60.1,7.3,59.5,66.5,Yes,0,0
Male,Delhi,Tier2,CS,Embedded,No,No,5.51,63.7,0,0,1.0,0,0,37.4,3.76,43.2,43.0,Yes,0,0
Male,Kolkata,Tier1,IT,AI,No,Yes,7.6,75.3,1,2,3.0,2,0,64.8,7.13,65.5,66.7,No,1,0
Female,Pune,Tier2,CS,Embedded,Yes,Yes,7.94,77.7,3,3,2.0,3,1,,6.91,71.0,74.2,Yes,0,0
Male,Hyderabad,Tier2,Civil,Embedded,Yes,No,5.97,66.9,0,1,0.0,0,0,48.8,3.79,33.0,33.3,No,0,0
Female,Jaipur,Tier1,EE,Embedded,Yes,No,7.25,76.9,1,3,2.0,3,0,61.9,5.52,60.9,63.7,Yes,0,0
Female,Jaipur,Tier2,CS,Networking,No,Yes,7.04,81.0,2,3,2.0,1,0,67.0,6.22,,61.4,Yes,0,0
Male,Pune,Tier1,EE,AI,Yes,No,8.05,89.2,1,3,4.0,3,0,75.9,7.59,65.6,72.4,Yes,1,0
Female,Bangalore,Tier3,Civil,DataScience,No,No,8.28,82.3,1,4,2.0,4,1,76.5,7.92,61.9,73.1,No,1,0
Male,Bangalore,Tier2,ECE,Embedded,No,No,7.99,80.5,3,3,4.0,3,1,76.2,7.93,67.3,78.4,No,1,0
Male,Kolkata,Tier3,IT,Embedded,No,No,5.9,69.2,1,1,0.0,1,0,50.4,4.29,38.3,44.9,No,0,0
Male,Kolkata,Tier2,ECE,DataScience,No,No,6.01,62.2,0,0,3.0,1,0,37.1,5.25,44.4,40.7,No,0,0
Female,Jaipur,Tier1,ECE,Networking,Yes,No,5.38,53.8,0,0,0.0,0,0,31.7,4.05,,39.2,Yes,0,0
Male,Mumbai,Tier1,ECE,Networking,Yes,Yes,7.35,81.2,1,2,0.0,3,0,67.0,6.52,,57.6,Yes,0,0
Male,Hyderabad,Tier2,Mechanical,Embedded,No,No,6.91,77.6,1,2,,2,0,75.9,6.14,52.2,60.6,Yes,0,0
Male,Pune,Tier3,ECE,DataScience,No,No,6.81,66.0,0,1,1.0,2,1,50.0,,43.7,54.1,No,0,0
Male,Pune,Tier2,EE,DataScience,Yes,No,8.98,93.1,2,4,2.0,6,2,94.7,9.17,85.5,100.0,No,1,0
Female,Pune,Tier2,EE,Networking,Yes,Yes,6.16,67.0,0,1,0.0,0,0,41.3,4.55,36.4,49.2,Yes,0,0
Male,Chennai,Tier2,ECE,DataScience,Yes,No,6.7,66.2,0,2,,1,0,47.2,,49.9,55.8,Yes,0,0
Male,Mumbai,Tier2,IT,AI,Yes,Yes,6.5,60.7,1,0,,1,0,50.8,6.14,45.8,47.4,No,1,0
Male,Delhi,Tier2,EE,Networking,Yes,No,9.74,100.0,3,6,5.0,6,2,98.8,10.0,100.0,94.9,No,1,0
Female,Hyderabad,Tier2,CS,Embedded,No,No,6.86,60.9,0,2,0.0,0,0,47.0,4.76,40.7,51.2,No,0,0
Male,Chennai,Tier1,ECE,DataScience,Yes,No,8.78,86.9,3,4,3.0,4,1,78.1,9.39,92.0,89.6,No,1,0
Male,Hyderabad,Tier2,IT,Networking,No,Yes,6.66,69.0,1,1,0.0,1,1,,6.18,53.8,53.3,Yes,0,0
Male,Delhi,Tier2,IT,Networking,Yes,No,6.74,62.8,1,2,2.0,2,0,64.8,5.46,65.3,61.6,Yes,1,0
Female,Hyderabad,Tier2,Mechanical,Networking,Yes,No,6.52,60.4,0,1,1.0,2,0,49.4,,44.3,54.5,No,0,0
Female,Delhi,Tier2,CS,Networking,No,No,6.74,64.1,0,2,2.0,2,0,56.5,5.27,45.1,,No,0,0
Female,Jaipur,Tier3,IT,AI,Yes,No,7.73,71.4,0,3,3.0,4,0,77.7,8.21,74.9,72.3,No,0,0
Male,Bangalore,Tier2,ECE,AI,Yes,No,7.78,81.8,2,3,5.0,3,1,,7.57,72.6,64.3,Yes,1,0
Female,Kolkata,Tier2,IT,DataScience,No,Yes,6.34,61.9,0,1,,0,0,42.4,4.07,37.2,51.6,No,0,0
Female,Delhi,Tier3,Civil,AI,Yes,No,5.65,54.7,0,0,0.0,1,0,36.9,4.29,36.7,,Yes,0,0
Female,Kolkata,Tier3,ECE,DataScience,No,No,6.76,67.3,1,2,2.0,2,0,56.2,6.26,52.1,56.3,Yes,0,0
Male,Chennai,Tier1,IT,Embedded,No,No,8.23,88.2,3,2,5.0,4,1,,7.86,84.4,83.9,No,1,0
Male,Chennai,Tier2,EE,AI,Yes,No,8.58,84.1,3,5,,4,1,100.0,7.45,77.8,,No,1,0
Male,Mumbai,Tier1,ECE,DataScience,No,Yes,5.75,67.4,0,1,0.0,0,0,40.6,4.74,30.5,44.2,No,0,0
Female,Hyderabad,Tier2,CS,Networking,Yes,No,8.21,82.8,2,4,4.0,2,1,79.4,,77.7,89.8,Yes,1,0
Male,Pune,Tier2,IT,Embedded,Yes,Yes,5.74,62.8,0,0,1.0,1,0,43.7,5.28,35.5,49.6,No,0,0
Male,Jaipur,Tier3,Civil,Networking,Yes,Yes,7.1,69.6,1,2,,3,0,55.3,6.12,50.5,63.4,Yes,1,0
Male,Kolkata,Tier3,ECE,AI,No,No,6.16,69.4,0,2,0.0,1,0,48.7,4.81,48.3,51.4,Yes,0,0
Male,Hyderabad,Tier1,IT,Networking,Yes,No,6.12,60.0,0,0,2.0,0,0,47.7,3.93,26.7,52.1,Yes,0,0
Male,Chennai,Tier3,Civil,Networking,Yes,No,7.18,69.3,1,1,1.0,1,0,56.4,6.32,60.1,56.3,No,1,0
Female,Jaipur,Tier2,ECE,DataScience,No,No,8.36,92.6,3,3,4.0,4,2,85.4,,94.2,83.1,Yes,1,0
Female,Jaipur,Tier2,EE,Networking,No,No,7.9,80.3,2,3,3.0,2,1,78.6,7.61,68.7,77.4,Yes,1,0
Female,Chennai,Tier3,IT,AI,No,No,8.35,86.8,2,3,,4,1,76.6,8.54,82.6,87.8,No,1,0
Male,Delhi,Tier2,CS,AI,No,No,8.23,86.5,3,3,4.0,4,1,79.7,8.0,83.9,85.7,Yes,1,0
Female,Delhi,Tier1,ECE,Networking,Yes,No,6.87,68.3,1,3,1.0,3,0,58.2,4.8,55.5,61.6,No,1,0
Female,Hyderabad,Tier1,IT,Embedded,No,Yes,6.62,69.7,1,0,3.0,1,0,42.4,5.39,39.2,51.7,No,0,0
Female,Ahmedabad,Tier2,Mechanical,DataScience,No,Yes,7.82,79.1,1,1,2.0,3,1,72.9,7.53,58.1,69.8,No,1,0
Male,Mumbai,Tier3,CS,AI,No,No,9.23,92.1,3,4,5.0,6,1,97.3,9.5,90.4,96.0,Yes,1,0
Male,Ahmedabad,Tier1,ECE,Networking,Yes,No,8.4,85.1,1,3,4.0,4,1,82.3,9.06,73.3,72.1,No,1,0
Male,Kolkata,Tier1,ECE,AI,No,Yes,6.19,63.2,0,0,0.0,0,0,56.0,5.26,41.0,55.3,Yes,0,0
Male,Ahmedabad,Tier3,EE,AI,No,No,8.4,82.6,3,4,4.0,4,1,73.8,9.47,91.2,86.2,Yes,1,0
Male,Pune,Tier2,Civil,Networking,No,No,7.62,78.1,2,2,2.0,4,0,63.9,5.63,64.3,69.6,Yes,1,0
Male,Ahmedabad,Tier3,CS,DataScience,Yes,No,8.51,79.0,2,3,4.0,3,2,77.1,7.49,69.8,72.8,No,1,0
Male,Bangalore,Tier2,Mechanical,Embedded,No,Yes,5.62,66.9,0,1,0.0,0,0,32.6,4.09,13.4,48.2,Yes,0,0
Female,Pune,Tier2,Mechanical,Embedded,No,No,6.38,60.9,1,2,1.0,1,0,61.9,,35.8,45.0,No,0,0
Male,Ahmedabad,Tier3,EE,Networking,Yes,No,7.22,70.3,1,2,2.0,1,1,74.1,7.78,47.2,65.7,No,0,0
Female,Mumbai,Tier3,CS,Networking,No,No,8.6,87.8,2,5,3.0,3,1,89.2,8.72,77.9,88.6,Yes,1,0
Female,Mumbai,Tier1,EE,DataScience,Yes,No,7.21,73.8,1,2,2.0,0,0,73.2,5.97,57.0,,Yes,1,0
Male,Delhi,Tier2,IT,AI,No,Yes,8.12,85.9,2,3,3.0,3,1,75.5,7.93,84.9,70.2,No,1,0
Female,Delhi,Tier2,Civil,Networking,No,No,6.78,67.9,0,2,0.0,3,0,54.5,5.15,40.4,59.0,No,0,0
Male,Pune,Tier1,ECE,Networking,No,No,8.16,83.4,2,4,4.0,3,1,71.9,7.48,62.4,83.5,No,1,0
Female,Delhi,Tier1,CS,AI,No,Yes,6.99,68.1,2,2,0.0,1,0,70.5,5.84,53.3,68.0,Yes,0,0
Male,Ahmedabad,Tier2,Mechanical,Embedded,No,No,6.46,59.2,1,1,1.0,0,1,53.3,,57.2,57.3,No,1,0
Female,Kolkata,Tier1,Mechanical,DataScience,Yes,Yes,9.12,91.4,3,3,3.0,2,2,95.4,9.32,92.1,100.0,No,1,0
Male,Ahmedabad,Tier3,IT,AI,Yes,No,6.76,79.4,1,1,1.0,1,0,51.3,5.61,52.1,53.6,No,0,0
Male,Jaipur,Tier2,Mechanical,DataScience,No,No,5.91,53.9,0,1,1.0,1,0,45.1,5.22,32.7,51.7,No,1,1
Male,Ahmedabad,Tier2,EE,Networking,No,No,7.64,84.3,2,2,2.0,1,0,68.6,6.43,73.1,78.0,No,1,0
Female,Chennai,Tier2,EE,AI,No,Yes,7.88,87.1,1,4,2.0,3,1,65.8,7.6,75.8,77.3,Yes,0,0
Male,Pune,Tier2,IT,Embedded,Yes,No,7.48,83.5,1,2,3.0,0,1,66.0,5.88,53.8,66.0,Yes,1,0
Male,Delhi,Tier2,CS,Embedded,Yes,No,7.79,73.9,1,3,3.0,3,1,67.8,7.13,61.5,70.7,Yes,1,0
Male,Hyderabad,Tier2,CS,AI,No,No,6.85,66.2,0,2,2.0,3,0,63.9,5.41,59.6,62.2,No,0,0
Male,Ahmedabad,Tier1,Mechanical,Networking,Yes,No,7.1,66.7,0,2,,2,0,61.7,5.97,57.4,62.7,Yes,1,0
Male,Jaipur,Tier2,Civil,Embedded,No,No,7.85,70.6,1,3,2.0,3,1,75.8,6.95,70.2,,No,1,0
Male,Ahmedabad,Tier3,ECE,AI,No,Yes,5.94,66.9,1,1,0.0,0,0,45.5,3.45,49.1,36.1,No,0,0
Male,Ahmedabad,Tier3,ECE,Embedded,No,No,6.71,76.0,0,2,2.0,2,0,51.6,5.01,48.1,67.2,No,0,0
Female,Bangalore,Tier2,CS,AI,Yes,No,7.58,83.3,2,1,1.0,4,1,72.6,7.08,76.7,76.4,No,1,0
Female,Bangalore,Tier3,Civil,Embedded,No,No,5.71,59.2,1,2,0.0,0,0,42.7,5.22,33.6,43.9,No,0,0
Male,Mumbai,Tier3,Mechanical,AI,No,No,5.57,53.4,0,2,0.0,0,0,39.9,3.84,31.0,38.8,No,0,0
Male,Jaipur,Tier2,IT,Embedded,Yes,No,7.02,71.6,1,1,2.0,1,0,67.2,5.32,56.3,69.1,No,0,0
Male,Kolkata,Tier3,EE,Embedded,Yes,No,7.51,71.9,2,4,2.0,2,1,68.0,6.43,65.2,60.2,No,1,0
Female,Jaipur,Tier2,EE,DataScience,No,No,8.22,77.0,1,3,4.0,3,1,73.7,,79.7,,Yes,1,0
Male,Hyderabad,Tier3,CS,Networking,Yes,No,8.33,86.4,3,3,3.0,3,1,88.7,8.75,,83.6,No,1,0
Female,Jaipur,Tier2,ECE,DataScience,No,No,8.07,84.2,1,3,2.0,4,1,67.4,7.89,68.6,73.0,Yes,1,0
Female,Chennai,Tier1,IT,Embedded,Yes,No,8.15,83.3,1,4,4.0,2,1,81.4,8.78,79.2,72.1,No,0,0
Female,Ahmedabad,Tier1,EE,Embedded,No,No,7.82,75.8,1,4,2.0,2,1,68.3,7.0,62.8,70.1,Yes,1,0
Male,Hyderabad,Tier2,CS,AI,No,Yes,6.22,61.2,0,1,0.0,0,0,53.2,6.11,42.4,58.8,Yes,0,0
Female,Delhi,Tier1,EE,Networking,No,Yes,8.56,88.2,2,4,3.0,3,1,94.0,7.26,72.6,79.4,Yes,1,0
Male,Pune,Tier3,ECE,AI,Yes,No,7.91,76.6,2,3,1.0,4,0,70.2,8.25,61.3,60.8,No,1,0
Male,Hyderabad,Tier2,Mechanical,AI,Yes,No,5.41,53.6,0,0,0.0,1,0,42.8,2.42,27.2,30.3,Yes,0,0
Male,Hyderabad,Tier1,Mechanical,DataScience,No,No,9.25,89.2,3,4,,5,2,,8.86,,92.9,Yes,1,0
Male,Mumbai,Tier2,EE,DataScience,Yes,Yes,6.52,71.0,0,2,2.0,2,0,55.9,5.28,36.6,68.7,No,0,0
Female,Chennai,Tier2,CS,DataScience,Yes,No,4.67,59.6,0,0,0.0,0,0,32.2,0.64,16.7,21.1,No,0,0
Female,Kolkata,Tier1,Mechanical,Networking,No,No,7.3,83.7,1,3,1.0,2,0,65.5,,67.8,62.0,No,0,0
Male,Mumbai,Tier1,ECE,Networking,Yes,No,9.3,88.6,3,5,4.0,4,1,84.3,9.0,76.9,89.3,Yes,1,0
Female,Pune,Tier2,CS,Networking,Yes,No,7.77,68.7,1,3,3.0,2,0,62.9,,67.1,66.4,Yes,0,0
Male,Hyderabad,Tier1,IT,DataScience,Yes,No,6.0,66.6,0,0,0.0,0,0,48.1,3.8,23.2,36.3,Yes,0,0
Male,Jaipur,Tier1,Civil,Embedded,No,No,6.08,68.3,0,0,1.0,0,0,44.3,,48.4,49.1,No,0,0
Male,Ahmedabad,Tier3,Civil,Embedded,Yes,No,9.16,96.5,3,4,4.0,4,2,100.0,9.56,89.2,83.5,Yes,1,0
Female,Bangalore,Tier2,IT,DataScience,No,Yes,7.94,85.4,2,4,5.0,3,1,76.0,7.97,72.3,71.8,No,0,1
Male,Chennai,Tier3,ECE,DataScience,No,Yes,8.23,82.3,2,4,4.0,3,1,70.1,7.31,77.1,81.7,Yes,1,0
Male,Pune,Tier2,CS,Networking,Yes,Yes,7.01,71.8,1,2,,1,0,50.3,6.27,53.9,64.9,No,0,0
Male,Jaipur,Tier3,Civil,Embedded,No,No,5.74,58.9,0,0,0.0,0,0,41.7,3.93,29.0,31.5,No,0,0
Female,Chennai,Tier2,Civil,Embedded,No,No,8.93,94.0,2,5,4.0,6,1,87.2,8.87,90.3,90.9,Yes,1,0
Female,Jaipur,Tier2,CS,DataScience,No,No,6.78,71.9,2,1,2.0,1,0,56.0,5.36,54.5,58.9,No,0,0
Female,Mumbai,Tier3,IT,Networking,No,No,7.91,80.0,1,4,3.0,3,1,76.0,7.63,75.5,78.7,Yes,1,0
Female,Kolkata,Tier2,CS,Embedded,No,No,7.08,72.8,1,2,,2,0,57.4,5.21,59.0,60.2,No,0,0
Female,Hyderabad,Tier1,Mechanical,Embedded,Yes,No,7.61,78.8,2,3,2.0,2,0,74.8,5.66,67.4,66.6,Yes,1,0
Male,Delhi,Tier2,ECE,DataScience,Yes,No,6.0,63.1,0,0,,1,0,32.2,,37.9,42.8,No,0,0
Male,Kolkata,Tier3,Civil,AI,No,No,9.12,87.8,3,6,,5,1,87.8,7.95,77.7,88.2,No,1,0
Female,Mumbai,Tier2,CS,DataScience,Yes,No,7.25,75.9,1,3,2.0,2,0,73.4,6.08,49.1,63.2,Yes,1,0
Female,Bangalore,Tier3,CS,Embedded,Yes,No,6.5,70.9,1,1,0.0,1,0,,5.17,46.8,41.6,Yes,0,0
Male,Ahmedabad,Tier2,Civil,Networking,No,Yes,7.8,79.7,2,3,2.0,2,1,67.9,,66.3,81.1,Yes,1,0
Male,Pune,Tier1,Civil,Networking,No,No,7.16,67.3,0,3,,1,0,62.9,6.81,51.2,60.7,Yes,0,0
Female,Mumbai,Tier2,Mechanical,DataScience,No,No,8.05,71.4,2,3,3.0,3,1,73.4,7.47,68.6,,Yes,0,1
Male,Hyderabad,Tier2,IT,Embedded,Yes,No,6.04,67.9,1,2,1.0,2,0,40.8,4.65,35.6,41.2,Yes,0,0
Female,Jaipur,Tier2,Civil,Embedded,Yes,Yes,7.64,70.3,2,3,2.0,1,1,65.7,6.39,56.7,64.8,Yes,1,0
Male,Ahmedabad,Tier2,CS,Embedded,No,No,5.98,53.2,0,0,2.0,0,0,47.9,5.33,38.9,43.0,No,1,0
Male,Mumbai,Tier2,ECE,AI,No,Yes,8.12,86.3,2,4,3.0,3,1,67.3,7.07,76.8,71.7,Yes,0,0
Female,Pune,Tier1,IT,DataScience,Yes,No,8.5,92.5,2,5,3.0,4,1,88.4,7.71,81.9,,No,1,0
Male,Mumbai,Tier2,Mechanical,Networking,No,No,7.57,80.1,1,3,3.0,3,1,69.3,7.81,67.8,82.8,No,0,0
Male,Hyderabad,Tier2,Mechanical,Networking,Yes,No,6.18,62.6,0,1,2.0,1,0,54.3,4.26,50.1,57.7,No,0,0
Female,Chennai,Tier3,ECE,Embedded,Yes,No,6.2,76.0,0,0,0.0,1,0,38.8,5.11,28.2,43.6,No,0,0
Female,Kolkata,Tier2,ECE,Networking,Yes,No,7.82,76.8,2,1,3.0,3,1,77.3,6.34,67.2,62.0,No,1,0
