CGPA,IQ,Aptitude_Score,Communication_Skill,Internships,Branch,Placed
7.47,134.0,85.0,2,1,IT,Yes
6.33,82.0,52.0,6,3,CSE,No
8.64,91.0,79.0,5,3,CSE,Yes
8.25,105.0,81.0,2,1,IT,Yes
8.29,95.0,48.0,3,1,MECH,Yes
6.59,130.0,89.0,9,0,MECH,No
8.9,116.0,66.0,7,3,MECH,Yes
6.1,101.0,97.0,7,2,IT,No
8.09,136.0,41.0,6,0,CSE,No
9.69,108.0,44.0,8,1,IT,No
6.51,93.0,68.0,4,3,IT,Yes
6.93,107.0,76.0,8,2,MECH,Yes
7.6,84.0,77.0,4,2,ECE,No
7.0,126.0,58.0,8,0,CSE,Yes
5.95,128.0,47.0,9,3,MECH,No
7.57,109.0,87.0,3,3,ECE,Yes
6.44,125.0,84.0,3,1,ECE,No
7.97,131.0,40.0,2,3,CIVIL,No
6.58,84.0,61.0,3,3,CSE,No
9.05,91.0,91.0,3,0,ECE,Yes
6.72,95.0,56.0,5,3,MECH,No
7.18,105.0,46.0,5,2,CIVIL,Yes
8.31,105.0,64.0,2,0,CSE,Yes
6.27,127.0,84.0,6,0,IT,No
7.73,100.0,43.0,5,1,MECH,No
8.81,118.0,75.0,6,3,ECE,No
5.89,115.0,45.0,1,1,ECE,No
7.68,112.0,99.0,5,2,MECH,Yes
7.76,109.0,70.0,9,0,ECE,Yes
8.28,116.0,58.0,2,0,CIVIL,No
6.26,102.0,83.0,1,0,CSE,Yes
6.18,137.0,93.0,9,2,CIVIL,Yes
8.02,89.0,78.0,9,2,ECE,Yes
7.8,133.0,66.0,9,1,IT,Yes
7.75,84.0,49.0,6,1,CSE,Yes
7.85,115.0,65.0,8,1,CSE,Yes
6.82,113.0,58.0,1,3,MECH,Yes
7.73,131.0,78.0,4,0,MECH,Yes
7.79,110.0,42.0,1,0,IT,No
6.79,89.0,84.0,8,1,CSE,Yes
9.37,137.0,52.0,1,0,IT,Yes
7.97,98.0,89.0,3,1,MECH,No
6.31,137.0,67.0,4,3,MECH,Yes
8.16,111.0,97.0,8,3,CSE,No
6.53,80.0,59.0,6,2,CIVIL,No
8.29,135.0,67.0,7,3,ECE,Yes
8.66,84.0,47.0,8,1,MECH,Yes
6.68,124.0,80.0,2,3,MECH,No
8.46,83.0,78.0,8,2,CIVIL,No
7.91,95.0,40.0,3,0,CIVIL,Yes
8.32,103.0,42.0,7,1,IT,No
9.4,95.0,52.0,3,0,IT,Yes
,,,7,2,ECE,No
6.75,81.0,96.0,2,2,ECE,Yes
6.61,128.0,99.0,6,2,CSE,No
6.68,107.0,88.0,3,0,IT,No
7.42,111.0,64.0,3,0,MECH,No
7.84,106.0,95.0,9,0,IT,Yes
7.78,99.0,72.0,7,0,MECH,Yes
8.33,103.0,77.0,5,2,CIVIL,Yes
7.51,91.0,92.0,7,2,IT,Yes
8.95,129.0,45.0,9,1,CIVIL,Yes
7.24,114.0,97.0,1,1,ECE,No
10.22,139.0,83.0,7,0,ECE,Yes
8.13,112.0,84.0,6,3,CSE,Yes
6.64,112.0,71.0,9,3,IT,No
6.43,130.0,84.0,1,2,CIVIL,No
7.98,122.0,86.0,4,2,MECH,No
,,,9,2,ECE,No
8.21,91.0,55.0,4,1,ECE,Yes
7.97,82.0,93.0,3,1,MECH,Yes
7.43,80.0,60.0,9,2,CIVIL,No
6.65,112.0,50.0,2,2,CIVIL,No
5.99,119.0,99.0,4,2,IT,Yes
7.05,89.0,76.0,6,3,IT,No
8.36,122.0,75.0,2,1,CSE,Yes
7.71,123.0,74.0,8,3,ECE,Yes
6.25,108.0,58.0,8,3,IT,Yes
7.67,92.0,59.0,1,2,CIVIL,Yes
7.89,91.0,96.0,3,2,MECH,Yes
6.62,110.0,57.0,9,0,CIVIL,Yes
7.65,125.0,86.0,5,0,ECE,No
,,,6,3,CIVIL,Yes
6.36,130.0,88.0,4,1,CSE,Yes
